4993,Feature,Closed,Normal,Entwicklungsumgebung aufsetzen,v0.1.0
4999,Feature,Closed,Normal,Als IU-Student kann ich mich anmelden,v0.2.0
5000,Feature,Closed,Normal,Als IU-Student kann ich mich registrieren,v0.2.0
5003,Feature,Closed,Normal,"Qualitätssicherung, Demo & Benutzerhandbuch",v0.2.0
5189,Feature,Closed,Normal,Postgres aufsetzen und User Repository implementieren,v0.2.0
5190,Feature,Closed,Normal,OpenAPI oder ähnliches für die Input-Validierung,v0.2.0
5191,Feature,Closed,Normal,E-Mail verification flow,v0.2.0
5193,Bug,Closed,Normal,Leerer request body führt zu internem Server Error,v0.2.0
5195,Feature,Closed,Normal,Erstellung einer Session und Speicherung in einem Cookie,v0.2.0
5197,Feature,Closed,Normal,Änderung user.name zu user.username,v0.2.0
5201,Bug,Closed,Normal,Automatic type checks,v0.2.0
5202,Bug,Closed,Normal,Automatic fmt checks,v0.2.0
5206,Feature,Closed,Normal,Konfiguration auf deno deploy vervollständigen,v0.2.0
5001,Feature,Closed,Normal,Als IU-Student kann ich eine Meldung erstellen und die betroffenen Medien verlinken,v0.3.0
5004,Feature,Closed,Normal,Als IU-Student kann ich eine Meldung bearbeiten,v0.3.0
5192,Feature,Closed,Normal,Integration tests,v0.3.0
5196,Feature,Closed,Normal,Implementierung der Backend-Funktionalität,v0.3.0
5199,Feature,Closed,Normal,Anhang-Feld implementieren,v0.3.0
5200,Feature,Closed,Normal,Implementierung des Report-Formulars,v0.3.0
5203,Feature,Closed,Normal,Collect test coverage,v0.3.0
5204,Feature,Closed,Normal,Username muss einzigartig sein,v0.3.0
5272,Feature,Closed,Normal,"Als Benutzer kann ich mich nur dann anmelden, wenn auch meine Email Adresse verifiziert wurde",v0.3.0
5273,Feature,Closed,Normal,Als Entwickler möchte ich einfach auf die aktuelle Session und den aktuellen Benutzer zugreifen können,v0.3.0
5274,Feature,Closed,Normal,Email Transporter in der Produktivumgebung,v0.3.0
5275,Feature,Closed,Normal,Session Cookie für Produktivumgebung anhand der Konfiguration setzen,v0.3.0
5278,Feature,Closed,Normal,Einführung eines Permission-Systems,v0.3.0
5281,Feature,Closed,Normal,Route zur Bearbeitung einer Meldung,v0.3.0
5285,Feature,Closed,Normal,Frontend Komponente für ein Tag-Feld und ein Tag-Badge,v0.3.0
5286,Feature,Closed,Normal,Login via Benutzername,v0.3.0
5287,Feature,Closed,Normal,Bei Aktivität wird die Session automatisch verlängert,v0.3.0
5288,Feature,Closed,Normal,Session wird beim Logout gelöscht/deaktiviert,v0.3.0
5289,Feature,Closed,Normal,Bei inaktiver Session wird automatisch auf die Login-Seite weitergeleitet,v0.3.0
5290,Bug,Closed,High,Deployment CI workflow gets automatically cancelled due to removal of concurrency group,v0.3.0
